Customer_ID,Customer_Name,Customer_Segment
CUST00141,Katherine Owen,Home Office
CUST00142,Kenneth Ponce,Unknown
CUST00143,Ricky Mcdonald,Corporate
CUST00144,Donald Robinson,Home Office
CUST00145,Christina Rivers,Corporate
CUST00146,Dominique Logan,Unknown
CUST00147,Stacey Thomas,Corporate
CUST00148,Alyssa White,Consumer
CUST00149,Erik Campbell,Consumer
CUST00150,Nicole Perry,Consumer
CUST00151,Rachael Perez,Consumer
CUST00152,Mrs. Jacqueline Bryan MD,Corporate
CUST00153,Christopher Mccann,Home Office
CUST00154,Angela Ryan,Consumer
CUST00155,Albert Walker,Consumer
CUST00156,Kelsey Mitchell,Unknown
CUST00157,Angela Peterson,Consumer
CUST00158,Roger Reyes,Consumer
CUST00159,Gabriela Perry,Consumer
CUST00160,Deanna Payne,Consumer
CUST00161,Angela Gonzalez,Home Office
CUST00162,John Rodriguez,Consumer
CUST00163,Candace Fox,Consumer
CUST00164,Paul Ochoa,Corporate
CUST00165,Julie Preston,Home Office
CUST00166,Gabriella Baird,Corporate
CUST00167,Brooke Walton,Corporate
CUST00168,Lisa Dawson,Consumer
CUST00169,Roy Bowen,Consumer
CUST00170,Vincent Quinn,Corporate
CUST00171,Andrew Jackson,Consumer
CUST00172,Miranda Velazquez,Consumer
CUST00173,Christine Lee,Consumer
CUST00174,James Henderson,Consumer
CUST00175,Roberto Austin,Consumer
CUST00176,Shannon Hubbard,Corporate
CUST00177,Jennifer Herrera,Home Office
CUST00178,Michael Phelps,Corporate
CUST00179,Dawn Elliott,Corporate
CUST00180,Bryce Garcia,Corporate
CUST00181,Todd Warner,Consumer
CUST00182,Thomas Hardy,Corporate
CUST00183,Abigail Collins,Consumer
CUST00184,John Martinez,Consumer
CUST00185,Lisa Davidson,Corporate
CUST00186,Justin Wilson PhD,Consumer
CUST00187,Sarah Saunders,Consumer
CUST00188,Edward Williams,Consumer
CUST00189,Shannon Zuniga,Consumer
CUST00190,Rebecca Singleton,Consumer
CUST00191,Barry Walter,Consumer
CUST00192,Michelle Harvey,Consumer
CUST00193,Scott Mitchell,Consumer
CUST00194,Robert Brown,Home Office
CUST00195,Marie Rodriguez,Consumer
CUST00196,Dominic Aguirre,Corporate
CUST00197,Erin Moore,Corporate
CUST00198,Jeffrey Obrien,Home Office
CUST00199,Erica Hernandez,Corporate
CUST00200,Jessica Figueroa,Consumer
CUST00201,Kimberly Cabrera,Consumer
CUST00202,Richard White,Corporate
CUST00203,Justin Stephens,Consumer
CUST00204,Joe Ramirez,Consumer
CUST00205,Jason Gutierrez,Corporate
CUST00206,Michael Velazquez,Consumer
CUST00207,Catherine Hall,Consumer
CUST00208,Kristopher Steele,Consumer
CUST00209,Katherine Lutz,Unknown
CUST00210,Regina King,Consumer
CUST00211,Amanda Gould,Home Office
CUST00212,Tammy Henderson,Consumer
CUST00213,Danielle Schaefer,Corporate
CUST00214,Adam Ramirez,Consumer
CUST00215,Kimberly Aguirre,Corporate
CUST00216,Phyllis Dunlap,Corporate
CUST00217,Brian Roberts,Corporate
CUST00218,Juan Cortez,Consumer
CUST00219,Jon Wright,Consumer
CUST00220,Derek Baker,Consumer
CUST00221,Tracy Jones,Consumer
CUST00222,John Burton Jr.,Consumer
CUST00223,Desiree Lane,Home Office
CUST00224,Justin Gilmore,Home Office
CUST00225,Glenda Farley,Consumer
CUST00226,Tyler Nunez,Consumer
CUST00227,William Cline,Corporate
CUST00228,Rhonda Davis,Consumer
CUST00229,John Acevedo,Corporate
CUST00230,Willie Riley,Corporate
CUST00231,Rachael Anderson,Corporate
CUST00232,Leslie Martinez,Home Office
CUST00233,Robert Hoffman,Consumer
CUST00234,Shannon Dunn,Unknown
CUST00235,Philip Levine,Consumer
CUST00236,Joseph Wilson,Home Office
CUST00237,Antonio Brooks,Consumer
CUST00238,Sharon Brady,Consumer
CUST00239,Dawn Dickerson,Corporate
CUST00240,James Stephens,Consumer
CUST00241,Julie Brown MD,Corporate
CUST00242,Melanie Hernandez,Corporate
CUST00243,Christopher Hunt,Consumer
CUST00244,Francis Romero,Consumer
CUST00245,Lisa Gross,Home Office
CUST00246,Timothy Wilson,Consumer
CUST00247,Brent Castillo,Consumer
CUST00248,Craig Smith,Home Office
CUST00249,Amy Welch,Home Office
CUST00250,Darlene Chapman,Consumer
CUST00251,Jessica Calhoun,Home Office
CUST00252,Kenneth Strickland,Corporate
CUST00253,Ronald Zavala PhD,Consumer
CUST00254,Michael Pitts,Consumer
CUST00255,Amber Harris,Consumer
CUST00256,Ashley Moore,Consumer
CUST00257,Kathryn Zhang,Consumer
CUST00258,Rachel Barnes,Consumer
CUST00259,Austin Walker,Consumer
CUST00260,Lee Hernandez MD,Home Office
CUST00261,Shawn Evans,Consumer
CUST00262,Maria Boyle,Consumer
CUST00263,Dillon Tucker,Corporate
CUST00264,Lance Cisneros,Consumer
CUST00265,Cheryl Brown,Corporate
CUST00266,Jillian Smith,Consumer
CUST00267,Robert Sims,Home Office
CUST00268,Tyler Holden,Consumer
CUST00269,Darren Bishop,Home Office
CUST00270,Daniel Lara,Home Office
CUST00271,Katherine Brandt,Home Office
CUST00272,Lori Robertson,Consumer
CUST00273,Stephanie Mason,Home Office
CUST00274,Ricky Skinner,Corporate
CUST00275,Caitlin Anderson,Consumer
CUST00276,Andrew Gomez,Unknown
CUST00277,Caleb Thomas,Home Office
CUST00278,Stephanie Robinson,Consumer
CUST00279,Jennifer Smith,Unknown
CUST00280,Ashley Olson,Consumer
CUST00281,Drew Gomez,Consumer
CUST00282,Joseph Coffey,Consumer
CUST00283,Joanne Whitaker,Home Office
CUST00284,Michael Griffin,Consumer
CUST00285,Anna Thompson,Home Office
CUST00286,Natalie Ward,Consumer
CUST00287,Logan Garcia,Home Office
CUST00288,Robert Owen,Home Office
CUST00289,Ashley Dennis,Corporate
CUST00290,William Paul,Unknown
CUST00291,Shannon Hoover,Consumer
CUST00292,Tara Brown,Corporate
CUST00293,Michael Wilson,Consumer
CUST00294,Jennifer Molina,Corporate
CUST00295,Joshua Higgins,Consumer
CUST00296,Catherine Allen,Corporate
CUST00297,Rachel Hicks,Consumer
CUST00298,Nathan Fischer,Consumer
CUST00299,Valerie Schultz,Corporate
CUST00300,Danielle Roberts,Home Office
CUST00301,Yvonne Rodriguez,Corporate
CUST00302,Melissa Bishop,Corporate
CUST00303,Harry Weeks,Corporate
CUST00304,Brandon Adkins,Consumer
CUST00305,James Hansen,Consumer
CUST00306,Dawn Walsh,Consumer
CUST00307,Sally Ruiz,Consumer
CUST00308,Joanne Hendricks,Consumer
CUST00309,Nicholas Carter,Corporate
CUST00310,Nicole Brown,Consumer
CUST00311,Angela Clarke,Consumer
CUST00312,David Edwards,Corporate
CUST00313,Lawrence Bailey,Consumer
CUST00314,Jamie Strickland,Corporate
CUST00315,Joseph Matthews,Corporate
CUST00316,Richard Sims,Corporate
CUST00317,Mary Perez,Consumer
CUST00318,Shawn Steele,Consumer
CUST00319,Zachary Hahn,Consumer
CUST00320,Barbara Myers,Consumer
CUST00321,Justin Phillips,Consumer
CUST00322,Stephen Rodriguez,Home Office
CUST00323,Joseph Smith,Home Office
CUST00324,David Wise,Consumer
CUST00325,Joseph Booth,Consumer
CUST00326,Jenna Lopez,Consumer
CUST00327,Patricia Barker,Consumer
CUST00328,David Brennan,Corporate
CUST00329,Sandra Torres,Consumer
CUST00330,Robin Kemp,Consumer
CUST00331,Ana Brown,Consumer
CUST00332,Robert Rogers,Unknown
CUST00333,John Martin,Home Office
CUST00334,Michael Shaw,Unknown
CUST00335,Kayla Estes,Consumer
CUST00336,Kayla Wilson,Consumer
CUST00337,Brianna Smith,Consumer
CUST00338,Jeffrey Gates,Corporate
CUST00339,Dr. Joseph Cummings MD,Corporate
CUST00340,Heather Adams,Home Office
CUST00341,Rachel Moody,Consumer
CUST00342,Rebecca Andrews,Consumer
CUST00343,Melissa Morales,Corporate
CUST00344,Sean Henson,Corporate
CUST00345,Jeffrey Rodriguez,Consumer
CUST00346,Angela Reynolds,Corporate
CUST00347,Scott Terry,Home Office
CUST00348,Laura Mcdaniel,Consumer
CUST00349,Ann Nelson,Unknown
CUST00350,John Jones,Consumer
CUST00351,Lisa Ball,Consumer
CUST00352,Andrea Williams,Home Office
CUST00353,Joseph Dawson,Consumer
CUST00354,Timothy Ferguson,Home Office
CUST00355,Michael Bartlett DDS,Corporate
CUST00356,Catherine Rodriguez,Consumer
CUST00357,Kyle Acosta,Home Office
CUST00358,Larry Clark,Consumer
CUST00359,Vicki Russo,Consumer
CUST00360,Antonio Sanchez,Consumer
CUST00361,Gina Griffin,Home Office
CUST00362,Susan Gomez,Corporate
CUST00363,Frank Tran,Corporate
CUST00364,Jose Black,Corporate
CUST00365,Kimberly Mccall,Corporate
CUST00366,John Bell,Consumer
CUST00367,Nathaniel Lyons,Consumer
CUST00368,Amber Trevino,Consumer
CUST00369,Stephanie Thomas,Consumer
CUST00370,Nicolas Lowe,Consumer
CUST00371,Andrew Coffey,Consumer
CUST00372,Jamie Harrison,Home Office
CUST00373,Dylan Woodward,Consumer
CUST00374,Timothy Parsons,Consumer
CUST00375,Peter Payne,Home Office
CUST00376,Laura Barnes,Consumer
CUST00377,Pamela Powell,Consumer
CUST00378,Diana Anderson,Home Office
CUST00379,Scott Perez,Consumer
CUST00380,Andrew Whitney,Corporate
CUST00381,Collin Marquez,Consumer
CUST00382,Robert Ball,Consumer
CUST00383,Richard Lewis,Consumer
CUST00384,Paul Huynh,Consumer
CUST00385,Dylan Shaw,Consumer
CUST00386,Valerie Shelton,Consumer
CUST00387,John Parrish,Consumer
CUST00388,James Lopez,Home Office
CUST00389,Dr. Cynthia Waters,Corporate
CUST00390,Elizabeth Rivera,Home Office
CUST00391,Samuel Hayes,Consumer
CUST00392,Jeanne Curry,Consumer
CUST00393,Karina White,Consumer
CUST00394,Tonya Sullivan,Consumer
CUST00395,Wendy Ponce,Home Office
CUST00396,Jordan Nguyen,Consumer
CUST00397,David Hill,Consumer
CUST00398,Aaron Stewart,Consumer
CUST00399,Paul Russell,Home Office
CUST00400,Miss Danielle Norris,Consumer
CUST00401,Valerie Dawson,Corporate
CUST00402,Christopher Fisher,Consumer
CUST00403,Darrell Bauer,Consumer
CUST00404,Joseph Cox,Consumer
CUST00405,Cassandra Ward,Corporate
CUST00406,Kevin Berry,Consumer
CUST00407,Mary Smith,Unknown
CUST00408,Sarah Frost,Corporate
CUST00409,Kevin Lopez,Home Office
CUST00410,Monica Grimes,Corporate
CUST00411,Kristine Phillips,Consumer
CUST00412,Jeff White,Consumer
CUST00413,Cynthia Reyes,Consumer
CUST00414,Eric Singleton,Corporate
CUST00415,Jonathan Singh,Corporate
CUST00416,Maria Williams,Consumer
CUST00417,Sarah Anthony,Unknown
CUST00418,Michelle Goodwin,Consumer
CUST00419,Anthony Robinson,Consumer
CUST00420,Jonathan Vang,Consumer
CUST00421,Jeffrey Malone,Consumer
CUST00422,James Thompson,Consumer
CUST00423,Charles Austin MD,Corporate
CUST00424,Dennis Lawrence,Consumer
CUST00425,William Coffey,Consumer
CUST00426,Michael Wright,Corporate
CUST00427,Richard Michael,Consumer
CUST00428,Eric Burton,Corporate
CUST00429,Daniel Henry,Consumer
CUST00430,Devon Vasquez,Corporate
CUST00431,Jared Logan,Consumer
CUST00432,Jessica Bryant,Consumer
CUST00433,Tracy Liu,Consumer
CUST00434,Jessica Stone,Consumer
CUST00435,Trevor Thompson,Home Office
CUST00436,Mario Rodriguez,Consumer
CUST00437,Elizabeth Rodgers,Home Office
CUST00438,Brandi Black,Consumer
CUST00439,April Anderson,Consumer
CUST00440,Kevin Russell,Consumer
CUST00441,Melvin Allen,Consumer
CUST00442,John Michael,Consumer
CUST00443,Benjamin Hall,Corporate
CUST00444,Vanessa Schneider,Corporate
CUST00445,Cynthia Rogers,Consumer
CUST00446,Vicki Wood,Consumer
CUST00447,Melissa Barber,Consumer
CUST00448,David Wood,Consumer
CUST00449,Mr. Andrew Ellison,Consumer
CUST00450,John Roberts,Consumer
CUST00451,Mary Dalton,Home Office
CUST00452,Phillip Kim,Consumer
CUST00453,Matthew Garcia,Corporate
CUST00454,Briana Drake,Corporate
CUST00455,Charles Schroeder,Consumer
CUST00456,Roberto Walker,Consumer
CUST00457,Andrew Miller,Consumer
CUST00458,Rebecca Griffin,Consumer
CUST00459,Diana Simmons,Consumer
CUST00460,Ian Stone,Home Office
CUST00461,Dr. Phillip Brooks,Consumer
CUST00462,Justin Hernandez,Consumer
CUST00463,Andrew Gill,Consumer
CUST00464,Brian Potter,Corporate
CUST00465,Jessica Taylor,Home Office
CUST00466,Cynthia Martinez,Home Office
CUST00467,Crystal Maddox,Consumer
CUST00468,Jessica Wang,Consumer
CUST00469,Michael Nguyen,Consumer
CUST00470,Nathan Pace,Corporate
CUST00471,Rachel Reyes,Corporate
CUST00472,Michael Caldwell,Unknown
CUST00473,Daniel Gregory,Consumer
CUST00474,Briana Kelly,Consumer
CUST00475,Becky Smith,Corporate
CUST00476,Justin Rubio,Corporate
CUST00477,Kristine Hernandez,Consumer
CUST00478,Shawn Frank,Home Office
CUST00479,Tiffany Kelley,Corporate
CUST00480,Jennifer Smith,Corporate
CUST00481,Julia Brown,Consumer
CUST00482,Bethany Adams,Corporate
CUST00483,Melinda Mayer,Consumer
CUST00484,Gwendolyn Brooks,Home Office
CUST00485,Robert Dickerson,Consumer
CUST00486,Robert Ferrell,Corporate
CUST00487,Katherine Craig,Consumer
CUST00488,Heidi Mason,Consumer
CUST00489,Denise Davis,Consumer
CUST00490,Carolyn Lee,Consumer
CUST00491,Vincent Spencer,Consumer
CUST00492,Michelle Briggs,Consumer
CUST00493,Brian Schneider,Consumer
CUST00494,Phyllis Reyes,Consumer
CUST00495,Terry Harrington,Home Office
CUST00496,Miguel Miller,Corporate
CUST00497,Donna Thomas,Corporate
CUST00498,Kimberly Matthews,Consumer
CUST00499,Samuel Valdez,Home Office
CUST00500,William Wright,Consumer
CUST00501,Michael Perkins,Consumer
CUST00502,Daniel Gray,Consumer
CUST00503,Carrie Clark,Home Office
CUST00504,Harold Miller,Consumer
CUST00505,Jesse Robinson,Consumer
CUST00506,Juan Warner,Consumer
CUST00507,Belinda Stafford,Consumer
CUST00508,Christian Rivera,Corporate
CUST00509,Scott Smith,Consumer
CUST00510,Joshua Robinson,Corporate
CUST00511,Anna Livingston,Corporate
CUST00512,Shannon Simpson,Unknown
CUST00513,Robert Cruz,Consumer
CUST00514,Nicole Anderson,Consumer
CUST00515,Fernando Martin,Home Office
CUST00516,Marie Nguyen,Consumer
CUST00517,Pamela Edwards,Home Office
CUST00518,Natasha Buchanan,Home Office
CUST00519,Alyssa Sullivan,Consumer
CUST00520,Jeffrey Rowland,Consumer
CUST00521,Stephanie Sullivan,Consumer
CUST00522,Duane Day,Consumer
CUST00523,Michelle Smith,Corporate
CUST00524,Adam Mitchell,Consumer
CUST00525,Daniel Thomas,Unknown
CUST00526,Tommy Brown,Consumer
CUST00527,Sara Robles,Consumer
CUST00528,Stephen Levine,Corporate
CUST00529,Tara Collins,Home Office
CUST00530,Jessica Smith,Home Office
CUST00531,Ashley Suarez,Consumer
CUST00532,Kelly Callahan,Home Office
CUST00533,Denise Ray,Corporate
CUST00534,Amber Walker,Consumer
CUST00535,Joy Howe,Home Office
CUST00536,Summer Gaines,Consumer
CUST00537,Sara Delacruz,Consumer
CUST00538,Emily Miranda,Corporate
CUST00539,Sara Munoz,Corporate
CUST00540,Patrick Taylor,Home Office
CUST00541,Miguel Adams,Consumer
CUST00542,Morgan Torres,Consumer
CUST00543,Mrs. Jessica Haynes,Consumer
CUST00544,John Hoffman,Consumer
CUST00545,Susan Lee,Consumer
CUST00546,Gary Hall,Home Office
CUST00547,Lee Bush,Corporate
CUST00548,Thomas Reid,Consumer
CUST00549,Jennifer Shields,Consumer
CUST00550,Jennifer Pierce,Consumer
CUST00551,Lisa Brown,Consumer
CUST00552,Samuel Thornton,Consumer
CUST00553,Kelly Ellis,Unknown
CUST00554,Michael Brown,Corporate
CUST00555,John Russell,Consumer
CUST00556,Rita Griffin,Consumer
CUST00557,Laura Parks,Consumer
CUST00558,Gerald Jefferson,Corporate
CUST00559,Joseph Chase,Consumer
CUST00560,Suzanne Alvarez,Home Office
CUST00561,John Graham,Corporate
CUST00562,Tammy Charles,Consumer
CUST00563,Francis Miller,Consumer
CUST00564,Robert Alvarez,Corporate
CUST00565,Victoria Bradley,Consumer
CUST00566,Jody Harris,Consumer
CUST00567,Jennifer Martin,Corporate
CUST00568,Susan Hall,Home Office
CUST00569,Miranda Myers,Corporate
CUST00570,Stuart Williams,Corporate
CUST00571,Joseph Walker,Unknown
CUST00572,Tracey Russell,Corporate
CUST00573,Wayne Walsh,Consumer
CUST00574,Jessica Reid,Consumer
CUST00575,Philip Wilson,Consumer
CUST00576,Lindsey Dougherty,Corporate
CUST00577,Randall Price DVM,Home Office
CUST00578,David Harding,Consumer
CUST00579,Charles Shaffer,Corporate
CUST00580,Michele Wright,Corporate
CUST00581,Michael Blankenship,Consumer
CUST00582,Jeffrey Johnson,Corporate
CUST00583,Angela Massey,Consumer
CUST00584,Christina Alexander,Consumer
CUST00585,Jessica Johnson,Consumer
CUST00586,Jamie Miller,Corporate
CUST00587,Joshua Lawson,Consumer
CUST00588,Robert Barrett,Corporate
CUST00589,Gabrielle Gould,Consumer
CUST00590,Kathryn Campbell,Unknown
CUST00591,Melissa Thompson,Consumer
CUST00592,Anna Wheeler,Home Office
CUST00593,Shawn Jennings,Consumer
CUST00594,Rebecca Jenkins,Corporate
CUST00595,Carrie Ferguson,Consumer
CUST00596,Neil Wilson,Consumer
CUST00597,Scott Roberts,Consumer
CUST00598,Benjamin Gross,Consumer
CUST00599,Janice Holt,Consumer
CUST00600,Ashley Bradley,Unknown
CUST00601,Samantha Allen,Consumer
CUST00602,David Obrien,Consumer
CUST00603,Timothy Mclaughlin,Consumer
CUST00604,Kevin Soto,Consumer
CUST00605,Joann Cline,Corporate
CUST00606,Isaac Smith,Corporate
CUST00607,Jonathan Obrien,Corporate
CUST00608,Stacy Garcia,Consumer
CUST00609,James Vance,Consumer
CUST00610,Anna Fleming,Consumer
CUST00611,Brian Whitney,Corporate
CUST00612,Caleb Wilkinson,Consumer
CUST00613,John Patton,Corporate
CUST00614,Taylor Frederick,Consumer
CUST00615,Crystal Horton,Consumer
CUST00616,Daryl Bennett,Consumer
CUST00617,Alexis Lopez,Unknown
CUST00618,Amanda Lyons,Consumer
CUST00619,Stephen Dunn,Consumer
CUST00620,Cassie Ray,Corporate
CUST00621,Elizabeth Brady,Consumer
CUST00622,Brandy Rasmussen,Consumer
CUST00623,Christina Vincent,Consumer
CUST00624,William Jimenez,Consumer
CUST00625,Gary Graham,Home Office
CUST00626,Veronica Ward,Corporate
CUST00627,Evan Mckenzie,Consumer
CUST00628,Jeffrey Brown,Corporate
CUST00629,Mary Padilla,Consumer
CUST00630,Jason Jackson,Corporate
CUST00631,Mary Houston,Corporate
CUST00632,Alicia Pacheco,Unknown
CUST00633,Anthony Yang,Corporate
CUST00634,Ashley Mcclain,Corporate
CUST00635,Ashley Parker,Corporate
CUST00636,Lori Hall,Unknown
CUST00637,Aaron Ball,Consumer
CUST00638,Eric Deleon,Unknown
CUST00639,Brian Taylor,Consumer
CUST00640,Jamie Rios,Consumer
CUST00641,Albert Gomez,Consumer
CUST00642,Shannon Stone,Consumer
CUST00643,Amber Lewis,Consumer
CUST00644,Rachel King,Consumer
CUST00645,Dennis Johnson,Consumer
CUST00646,Joshua Clark,Consumer
CUST00647,Johnathan Larson,Consumer
CUST00648,David Watts,Consumer
CUST00649,Lisa Thompson,Consumer
CUST00650,Brett Campbell,Corporate
CUST00651,Amber Adams,Consumer
CUST00652,Jamie Perez,Home Office
CUST00653,Jacob Osborne,Corporate
CUST00654,Tanya Montoya,Consumer
CUST00655,April Roth,Consumer
CUST00656,Danielle Davis,Home Office
CUST00657,Cody Davis,Corporate
CUST00658,Summer Wilson,Corporate
CUST00659,Kevin Campbell,Consumer
CUST00660,Mary Miller,Home Office
CUST00661,Gary Lozano,Home Office
CUST00662,Timothy Lindsey,Consumer
CUST00663,April Richardson,Consumer
CUST00664,Jason Martinez,Corporate
CUST00665,Erika Mitchell,Consumer
CUST00666,Seth Alexander,Home Office
CUST00667,Cynthia Smith,Corporate
CUST00668,Mary Shaw,Unknown
CUST00669,Janet Spencer,Consumer
CUST00670,Latasha Shaffer,Consumer
CUST00671,Omar Ellis,Home Office
CUST00672,Kelly Harris,Home Office
CUST00673,Tammy Terry,Corporate
CUST00674,Donald Miller,Consumer
CUST00675,Jennifer Williams,Consumer
CUST00676,Elizabeth Franklin,Consumer
CUST00677,Mary Spencer,Home Office
CUST00678,Steven James,Consumer
CUST00679,Stephen Brown,Corporate
CUST00680,Luis White,Consumer
CUST00681,Sarah Warner,Consumer
CUST00682,Laura Miller,Consumer
CUST00683,Jade Hill,Corporate
CUST00684,Dustin Aguirre,Corporate
CUST00685,Justin Carter,Consumer
CUST00686,Matthew Bernard,Consumer
CUST00687,Christina Edwards,Corporate
CUST00688,Molly Bishop,Corporate
CUST00689,Adrian Henry,Consumer
CUST00690,Eric Shaffer,Home Office
CUST00691,Megan Long,Corporate
CUST00692,Elizabeth French,Consumer
CUST00693,William Phillips,Consumer
CUST00694,Taylor Scott,Consumer
CUST00695,Kimberly Evans,Consumer
CUST00696,Joanna Howe,Consumer
CUST00697,Lisa Salazar,Unknown
CUST00698,Ashley Navarro,Consumer
CUST00699,Denise Carpenter,Home Office
CUST00700,Daniel Pennington DVM,Home Office
CUST00701,Gabriela Browning,Consumer
CUST00702,Jason Parks,Consumer
CUST00703,Robert Molina,Consumer
CUST00704,Susan Atkins,Corporate
CUST00705,Gary James,Corporate
CUST00706,Jennifer Griffith,Consumer
CUST00707,Keith Smith,Consumer
CUST00708,Omar Stephenson,Consumer
CUST00709,Megan King,Consumer
CUST00710,Cassandra Brown,Corporate
CUST00711,Sarah Chavez,Consumer
CUST00712,William Reed,Consumer
CUST00713,John Harris,Unknown
CUST00714,Michael Yang,Corporate
CUST00715,James Higgins,Home Office
CUST00716,Ashley Pruitt,Consumer
CUST00717,Patrick Peterson,Consumer
CUST00718,Sharon Taylor,Corporate
CUST00719,Jerry Allen,Consumer
